customer_id,acquisition_channel_id,is_paid_acquisition,cohort_month,m0_gross_order_value,m0_discount_share,lifetime_orders_count,lifetime_margin_total,observed_duration_t,event_churned_e
CUST_000003,meta_ads,true,2025-07-01,117.60,0.0,1,-40.20,0.99,1
CUST_000009,meta_ads,true,2025-05-01,86.46,0.2,1,37.99,0.99,1
CUST_000019,google_ads,true,2025-01-01,107.47,0.0,2,152.36,1.76,1
CUST_000023,google_ads,true,2024-09-01,96.80,0.0,1,62.87,0.99,1
CUST_000065,google_ads,true,2024-09-01,73.04,0.0,1,46.06,0.99,1
CUST_000066,creator_network,false,2025-03-01,62.72,0.0,1,-20.50,0.99,1
CUST_000070,meta_ads,true,2025-12-01,53.46,0.2499,1,22.03,0.99,0
CUST_000084,organic_search,false,2024-03-01,98.63,0.0,1,64.38,0.99,1
CUST_000107,google_ads,true,2024-12-01,121.82,0.15,1,61.86,0.99,1
CUST_000131,google_ads,true,2024-12-01,102.96,0.1,1,59.37,0.99,1
CUST_000153,meta_ads,true,2024-05-01,124.70,0.15,2,73.87,0.87,1
CUST_000171,meta_ads,true,2025-06-01,100.18,0.15,2,96.12,1.65,1
CUST_000175,meta_ads,true,2025-06-01,80.70,0.0,2,123.56,1.86,1
CUST_000182,creator_network,false,2024-04-01,60.55,0.0,1,7.71,0.99,1
CUST_000186,direct,false,2025-06-01,123.73,0.0,1,83.93,0.99,1
CUST_000211,meta_ads,true,2025-03-01,114.21,0.0,2,70.80,2.43,1
CUST_000214,google_ads,true,2024-07-01,46.13,0.0,1,28.67,0.99,1
CUST_000216,meta_ads,true,2024-08-01,94.29,0.0,1,62.79,0.99,1
CUST_000230,meta_ads,true,2025-05-01,99.68,0.0,1,66.55,0.99,1
CUST_000275,google_ads,true,2025-03-01,126.56,0.1,3,193.73,0.81,1
CUST_000289,google_ads,true,2024-09-01,94.75,0.0,1,12.29,0.99,1
CUST_000320,google_ads,true,2024-08-01,103.52,0.0,1,65.02,0.99,1
CUST_000327,creator_network,false,2025-04-01,102.98,0.2,1,48.68,0.99,1
CUST_000333,meta_ads,true,2024-01-01,70.49,0.0,1,45.85,0.99,1
CUST_000360,meta_ads,true,2025-04-01,140.91,0.0,1,89.63,0.99,1
CUST_000370,creator_network,false,2024-03-01,82.69,0.0,1,55.13,0.99,1
CUST_000377,google_ads,true,2025-10-01,115.47,0.1,1,64.34,0.99,0
CUST_000387,meta_ads,true,2024-09-01,65.22,0.1,3,112.25,4.33,1
CUST_000444,creator_network,false,2024-11-01,100.10,0.0,1,-34.33,0.99,1
CUST_000457,direct,false,2024-01-01,69.28,0.0,1,45.62,0.99,1
CUST_000471,google_ads,true,2024-01-01,88.32,0.1,1,49.32,0.99,1
CUST_000487,direct,false,2024-02-01,130.97,0.0,1,85.90,0.99,1
CUST_000514,meta_ads,true,2025-10-01,84.55,0.1001,2,82.72,1.99,0
CUST_000516,google_ads,true,2024-01-01,122.80,0.15,1,64.88,0.99,1
CUST_000537,google_ads,true,2025-10-01,91.31,0.0,2,150.50,1.98,0
CUST_000552,google_ads,true,2025-10-01,110.08,0.0,1,71.24,0.99,0
CUST_000555,meta_ads,true,2025-10-01,73.87,0.15,1,35.55,0.99,0
CUST_000569,organic_search,false,2025-11-01,98.93,0.0,1,67.05,0.99,0
CUST_000579,organic_search,false,2025-02-01,81.31,0.0,1,54.53,0.99,1
CUST_000581,meta_ads,true,2025-01-01,54.98,0.2001,1,-29.42,0.99,1
CUST_000589,creator_network,false,2024-05-01,71.74,0.0,1,9.85,0.99,1
CUST_000618,google_ads,true,2024-09-01,112.38,0.1,1,63.23,0.99,1
CUST_000621,creator_network,false,2024-06-01,82.31,0.15,1,40.52,0.99,1
CUST_000639,organic_search,false,2024-09-01,108.81,0.0,1,71.34,0.99,1
CUST_000642,meta_ads,true,2024-10-01,80.00,0.0,1,51.64,0.99,1
CUST_000660,meta_ads,true,2025-04-01,80.10,0.0,1,53.73,0.99,1
CUST_000667,google_ads,true,2024-08-01,130.34,0.0,2,75.84,1.73,1
CUST_000672,google_ads,true,2025-11-01,119.56,0.2,1,51.65,0.99,0
CUST_000700,meta_ads,true,2025-02-01,104.09,0.15,1,55.09,0.99,1
CUST_000759,meta_ads,true,2025-11-01,66.53,0.15,1,32.17,0.99,0
CUST_000780,organic_search,false,2025-05-01,95.05,0.0,1,61.02,0.99,1
CUST_000791,google_ads,true,2024-05-01,142.64,0.1,1,80.24,0.99,1
CUST_000793,google_ads,true,2025-02-01,68.33,0.0,1,43.93,0.99,1
CUST_000800,meta_ads,true,2025-11-01,89.64,0.0,1,56.92,0.99,0
CUST_000801,google_ads,true,2025-07-01,68.73,0.2001,2,98.44,0.44,1
CUST_000851,organic_search,false,2024-03-01,104.52,0.0,2,133.54,1.29,1
CUST_000857,meta_ads,true,2024-02-01,68.80,0.2,1,-39.30,0.99,1
CUST_000906,meta_ads,true,2025-10-01,77.51,0.1,1,-9.86,0.99,0
CUST_000971,meta_ads,true,2025-06-01,68.31,0.0,1,45.56,0.99,1
CUST_001000,creator_network,false,2025-01-01,80.80,0.2,1,37.88,0.99,1
CUST_001002,creator_network,false,2025-03-01,87.21,0.2,1,41.82,0.99,1
CUST_001073,direct,false,2024-02-01,104.10,0.0,1,64.70,0.99,1
CUST_001079,direct,false,2024-07-01,100.42,0.0,1,62.89,0.99,1
CUST_001099,meta_ads,true,2025-08-01,107.45,0.1,1,58.75,0.99,1
CUST_001120,meta_ads,true,2024-05-01,113.08,0.0,1,70.17,0.99,1
CUST_001138,google_ads,true,2025-02-01,154.71,0.1,1,88.94,0.99,1
CUST_001150,creator_network,false,2025-10-01,98.18,0.2,1,44.32,0.99,0
CUST_001161,creator_network,false,2025-09-01,93.03,0.0,1,-34.97,0.99,1
CUST_001179,google_ads,true,2025-08-01,127.60,0.2,1,57.84,0.99,1
CUST_001220,meta_ads,true,2024-09-01,84.69,0.25,1,34.05,0.99,1
CUST_001225,direct,false,2024-12-01,120.17,0.0,1,74.83,0.99,1
CUST_001238,organic_search,false,2025-02-01,89.00,0.0,1,55.56,0.99,1
CUST_001240,organic_search,false,2024-06-01,92.68,0.15,1,47.82,0.99,1
CUST_001269,creator_network,false,2025-05-01,76.73,0.15,1,36.68,0.99,1
CUST_001276,direct,false,2024-04-01,109.02,0.0,1,72.98,0.99,1
CUST_001284,meta_ads,true,2024-01-01,58.18,0.0,1,37.05,0.99,1
CUST_001312,meta_ads,true,2025-11-01,80.48,0.0,1,18.38,0.99,0
CUST_001327,google_ads,true,2024-06-01,137.64,0.0,1,25.48,0.99,1
CUST_001385,meta_ads,true,2025-06-01,125.59,0.15,1,62.14,0.99,1
CUST_001390,creator_network,false,2025-01-01,82.95,0.2,1,37.38,0.99,1
CUST_001395,google_ads,true,2024-10-01,105.82,0.15,1,-7.29,0.99,1
CUST_001398,meta_ads,true,2024-08-01,52.14,0.2501,1,20.87,0.99,1
CUST_001404,organic_search,false,2025-07-01,106.46,0.2,1,46.47,0.99,1
CUST_001407,direct,false,2025-10-01,109.78,0.0,1,69.41,0.99,0
CUST_001408,meta_ads,true,2025-09-01,126.90,0.15,1,65.05,0.99,1
CUST_001441,meta_ads,true,2025-12-01,84.42,0.0,1,53.15,0.99,0
CUST_001455,direct,false,2024-02-01,72.38,0.0,1,47.53,0.99,1
CUST_001470,google_ads,true,2025-08-01,112.10,0.0,1,73.03,0.99,1
CUST_001474,organic_search,false,2024-12-01,110.28,0.0,1,74.42,0.99,1
CUST_001504,google_ads,true,2024-11-01,107.65,0.0,2,146.84,1.64,1
CUST_001517,direct,false,2025-06-01,106.98,0.0,1,67.22,0.99,1
CUST_001520,meta_ads,true,2025-11-01,93.54,0.1,1,53.19,0.99,0
CUST_001573,meta_ads,true,2025-07-01,66.56,0.0,1,43.77,0.99,1
CUST_001580,google_ads,true,2025-03-01,88.25,0.0,1,56.81,0.99,1
CUST_001620,meta_ads,true,2025-07-01,129.61,0.0,1,85.30,0.99,1
CUST_001623,google_ads,true,2025-04-01,63.79,0.0,1,42.05,0.99,1
CUST_001624,meta_ads,true,2025-12-01,46.45,0.1001,1,25.35,0.99,0
CUST_001637,meta_ads,true,2024-12-01,82.70,0.1499,1,40.52,0.99,1
CUST_001640,google_ads,true,2025-11-01,164.00,0.0,1,32.46,0.99,0
CUST_001644,google_ads,true,2025-05-01,125.71,0.25,1,51.80,0.99,1
CUST_001693,google_ads,true,2024-12-01,120.41,0.0,1,76.69,0.99,1
