customer_id,signup_timestamp,acquisition_channel_id,country_code
CUST_000001,2024-11-26 03:50:49,organic_search,US
CUST_000002,2025-12-31 10:37:06,meta_ads,DE
CUST_000003,2025-07-27 01:51:20,meta_ads,US
CUST_000004,2025-05-12 13:36:47,creator_network,US
CUST_000005,2024-05-10 19:04:56,meta_ads,US
CUST_000006,2024-05-18 02:11:12,direct,US
CUST_000007,2024-02-12 09:18:40,creator_network,US
CUST_000008,2025-10-18 19:18:36,direct,US
CUST_000009,2025-05-21 00:07:05,meta_ads,CA
CUST_000010,2025-07-10 13:53:05,organic_search,US
CUST_000011,2024-01-05 19:20:42,meta_ads,US
CUST_000012,2025-12-26 15:22:17,direct,US
CUST_000013,2025-09-29 10:52:43,meta_ads,GB
CUST_000014,2024-07-04 13:42:44,google_ads,US
CUST_000015,2024-06-12 16:58:02,creator_network,CA
CUST_000016,2024-06-02 13:21:54,google_ads,CA
CUST_000017,2024-10-21 17:23:18,google_ads,US
CUST_000018,2025-03-31 11:35:41,direct,US
CUST_000019,2025-01-30 23:10:46,google_ads,US
CUST_000020,2024-09-30 03:24:59,google_ads,US
CUST_000021,2025-05-26 19:44:55,meta_ads,US
CUST_000022,2024-05-04 13:35:43,organic_search,US
CUST_000023,2024-09-08 23:39:36,google_ads,US
CUST_000024,2024-11-19 20:54:36,google_ads,US
CUST_000025,2025-01-21 16:34:54,meta_ads,US
CUST_000026,2025-08-12 23:36:07,google_ads,US
CUST_000027,2024-07-23 05:16:23,meta_ads,US
CUST_000028,2025-03-28 23:05:13,meta_ads,US
CUST_000029,2025-04-30 11:45:44,google_ads,US
CUST_000030,2024-02-19 05:34:16,meta_ads,US
CUST_000031,2025-05-10 08:55:35,meta_ads,US
CUST_000032,2024-06-06 19:27:27,creator_network,CA
CUST_000033,2024-03-13 02:09:35,meta_ads,US
CUST_000034,2025-12-20 03:42:52,meta_ads,US
CUST_000035,2025-12-23 18:05:06,meta_ads,US
CUST_000036,2025-09-03 15:53:21,google_ads,US
CUST_000037,2024-10-20 20:29:12,creator_network,US
CUST_000038,2024-04-30 09:26:56,creator_network,GB
CUST_000039,2025-06-03 23:32:42,meta_ads,US
CUST_000040,2025-01-15 01:20:48,meta_ads,CA
CUST_000041,2024-04-23 17:11:05,meta_ads,US
CUST_000042,2025-02-14 03:02:04,google_ads,US
CUST_000043,2024-02-20 21:33:11,direct,GB
CUST_000044,2025-11-09 22:38:21,meta_ads,CA
CUST_000045,2024-08-23 06:05:42,meta_ads,GB
CUST_000046,2025-06-26 17:00:59,meta_ads,US
CUST_000047,2024-10-17 10:44:44,google_ads,US
CUST_000048,2025-03-18 14:40:12,creator_network,US
CUST_000049,2025-03-11 15:35:32,google_ads,US
CUST_000050,2024-06-01 04:12:20,organic_search,GB
CUST_000051,2025-12-25 13:28:06,google_ads,US
CUST_000052,2025-08-04 02:24:26,meta_ads,US
CUST_000053,2025-11-07 13:31:29,meta_ads,US
CUST_000054,2025-11-29 21:37:28,creator_network,US
CUST_000055,2025-05-31 01:03:40,google_ads,GB
CUST_000056,2025-11-06 16:39:21,google_ads,US
CUST_000057,2024-03-18 06:55:23,creator_network,US
CUST_000058,2024-07-23 06:06:23,google_ads,US
CUST_000059,2024-02-29 01:38:25,organic_search,US
CUST_000060,2024-10-10 14:27:26,google_ads,US
CUST_000061,2024-12-16 15:16:51,creator_network,US
CUST_000062,2024-09-30 13:40:53,meta_ads,US
CUST_000063,2025-09-28 16:19:56,creator_network,US
CUST_000064,2024-11-02 21:13:06,organic_search,US
CUST_000065,2024-09-13 08:31:37,google_ads,US
CUST_000066,2025-03-24 01:58:34,creator_network,GB
CUST_000067,2024-05-14 13:16:11,creator_network,GB
CUST_000068,2025-09-20 12:52:30,meta_ads,US
CUST_000069,2024-03-03 22:57:12,google_ads,US
CUST_000070,2025-12-23 03:32:48,meta_ads,US
CUST_000071,2025-08-21 20:52:56,direct,GB
CUST_000072,2024-07-05 20:36:26,organic_search,US
CUST_000073,2024-01-17 00:08:17,meta_ads,DE
CUST_000074,2025-09-05 09:04:26,meta_ads,US
CUST_000075,2025-07-28 00:00:26,google_ads,GB
CUST_000076,2025-07-07 08:16:25,meta_ads,US
CUST_000077,2025-08-26 05:33:46,meta_ads,US
CUST_000078,2024-03-03 12:49:07,google_ads,US
CUST_000079,2024-11-18 00:18:06,google_ads,US
CUST_000080,2024-04-12 20:57:23,meta_ads,US
CUST_000081,2025-10-31 01:58:04,organic_search,US
CUST_000082,2025-05-22 06:20:05,organic_search,US
CUST_000083,2024-10-20 07:03:04,creator_network,US
CUST_000084,2024-03-25 23:56:15,organic_search,DE
CUST_000085,2024-10-31 23:07:34,meta_ads,US
CUST_000086,2024-10-09 02:28:57,meta_ads,US
CUST_000087,2025-07-16 10:44:56,meta_ads,CA
CUST_000088,2025-05-27 04:40:58,creator_network,US
CUST_000089,2025-10-17 10:55:00,direct,US
CUST_000090,2025-02-21 14:28:16,creator_network,US
CUST_000091,2024-04-09 04:55:50,organic_search,DE
CUST_000092,2025-07-04 04:38:11,google_ads,US
CUST_000093,2025-08-05 08:22:51,google_ads,US
CUST_000094,2025-04-23 18:17:19,google_ads,US
CUST_000095,2025-08-06 19:17:07,meta_ads,US
CUST_000096,2025-02-18 01:35:24,meta_ads,GB
CUST_000097,2025-03-09 19:41:26,creator_network,US
CUST_000098,2025-01-02 02:32:44,google_ads,CA
CUST_000099,2024-01-23 09:07:52,google_ads,US
CUST_000100,2024-04-08 13:03:57,google_ads,US
CUST_000101,2024-02-15 16:04:28,meta_ads,US
CUST_000102,2025-05-20 11:33:43,google_ads,US
CUST_000103,2024-10-07 07:33:42,google_ads,US
CUST_000104,2025-03-05 04:04:58,google_ads,US
CUST_000105,2025-11-01 04:09:07,organic_search,US
CUST_000106,2024-08-06 01:48:06,google_ads,US
CUST_000107,2024-12-12 09:02:04,google_ads,CA
CUST_000108,2025-08-14 06:14:34,organic_search,US
CUST_000109,2024-08-29 13:05:41,organic_search,DE
CUST_000110,2024-03-10 06:58:51,organic_search,US
CUST_000111,2024-09-13 07:51:23,meta_ads,US
CUST_000112,2024-06-06 05:27:26,meta_ads,US
CUST_000113,2025-11-07 11:26:00,meta_ads,GB
CUST_000114,2025-09-20 02:49:28,meta_ads,CA
CUST_000115,2025-05-08 21:52:23,organic_search,US
CUST_000116,2025-10-04 19:11:32,google_ads,US
CUST_000117,2025-09-14 04:24:53,meta_ads,CA
CUST_000118,2024-06-01 22:23:52,meta_ads,US
CUST_000119,2025-10-15 14:46:52,meta_ads,GB
CUST_000120,2025-03-29 21:33:02,google_ads,CA
CUST_000121,2025-09-29 16:03:15,creator_network,US
CUST_000122,2025-11-18 22:19:51,organic_search,US
CUST_000123,2024-10-22 23:12:19,direct,US
CUST_000124,2024-04-13 22:03:00,meta_ads,US
CUST_000125,2024-08-06 14:38:56,meta_ads,US
CUST_000126,2025-01-24 13:14:39,meta_ads,US
CUST_000127,2025-09-22 03:39:23,meta_ads,US
CUST_000128,2025-10-04 08:33:22,organic_search,US
CUST_000129,2024-01-12 16:38:56,google_ads,CA
CUST_000130,2025-03-04 17:11:36,creator_network,US
CUST_000131,2024-12-13 09:52:19,google_ads,US
CUST_000132,2024-07-28 11:53:43,meta_ads,US
CUST_000133,2024-04-01 13:10:18,meta_ads,GB
CUST_000134,2024-10-17 04:33:38,google_ads,US
CUST_000135,2025-11-29 21:35:00,creator_network,US
CUST_000136,2024-10-05 22:24:59,meta_ads,CA
