spend_month,acquisition_channel_id,marketing_spend
2024-01-01,meta_ads,4821.48
2024-01-01,google_ads,3888.24
2024-01-01,creator_network,2384.41
2024-01-01,organic_search,0.0
2024-01-01,direct,0.0
2024-02-01,meta_ads,5448.64
2024-02-01,google_ads,5256.94
2024-02-01,creator_network,2043.68
2024-02-01,organic_search,0.0
2024-02-01,direct,0.0
2024-03-01,meta_ads,6162.43
2024-03-01,google_ads,5456.01
2024-03-01,creator_network,2031.44
2024-03-01,organic_search,0.0
2024-03-01,direct,0.0
2024-04-01,meta_ads,5629.72
2024-04-01,google_ads,4733.65
2024-04-01,creator_network,2265.65
2024-04-01,organic_search,0.0
2024-04-01,direct,0.0
2024-05-01,meta_ads,6327.67
2024-05-01,google_ads,5381.98
2024-05-01,creator_network,1772.32
2024-05-01,organic_search,0.0
2024-05-01,direct,0.0
2024-06-01,meta_ads,5968.38
2024-06-01,google_ads,5024.52
2024-06-01,creator_network,2742.69
2024-06-01,organic_search,0.0
2024-06-01,direct,0.0
2024-07-01,meta_ads,6343.69
2024-07-01,google_ads,5155.01
2024-07-01,creator_network,2243.63
2024-07-01,organic_search,0.0
2024-07-01,direct,0.0
2024-08-01,meta_ads,6400.55
2024-08-01,google_ads,5750.96
2024-08-01,creator_network,2196.51
2024-08-01,organic_search,0.0
2024-08-01,direct,0.0
2024-09-01,meta_ads,7388.99
2024-09-01,google_ads,6348.13
2024-09-01,creator_network,2574.25
2024-09-01,organic_search,0.0
2024-09-01,direct,0.0
2024-10-01,meta_ads,7010.41
2024-10-01,google_ads,5831.9
2024-10-01,creator_network,2295.76
2024-10-01,organic_search,0.0
2024-10-01,direct,0.0
2024-11-01,meta_ads,6557.33
2024-11-01,google_ads,6462.32
2024-11-01,creator_network,2107.32
2024-11-01,organic_search,0.0
2024-11-01,direct,0.0
2024-12-01,meta_ads,8682.51
2024-12-01,google_ads,7011.3
2024-12-01,creator_network,2662.42
2024-12-01,organic_search,0.0
2024-12-01,direct,0.0
2025-01-01,meta_ads,7269.25
2025-01-01,google_ads,6504.91
2025-01-01,creator_network,2620.94
2025-01-01,organic_search,0.0
2025-01-01,direct,0.0
2025-02-01,meta_ads,7835.48
2025-02-01,google_ads,6436.92
2025-02-01,creator_network,3351.7
2025-02-01,organic_search,0.0
2025-02-01,direct,0.0
2025-03-01,meta_ads,7345.63
2025-03-01,google_ads,7503.17
2025-03-01,creator_network,2530.52
2025-03-01,organic_search,0.0
2025-03-01,direct,0.0
2025-04-01,meta_ads,7399.77
2025-04-01,google_ads,7065.66
2025-04-01,creator_network,2849.4
2025-04-01,organic_search,0.0
2025-04-01,direct,0.0
2025-05-01,meta_ads,7953.41
2025-05-01,google_ads,5991.0
2025-05-01,creator_network,2971.05
2025-05-01,organic_search,0.0
2025-05-01,direct,0.0
2025-06-01,meta_ads,8307.99
2025-06-01,google_ads,8082.7
2025-06-01,creator_network,2633.34
2025-06-01,organic_search,0.0
2025-06-01,direct,0.0
2025-07-01,meta_ads,8456.89
2025-07-01,google_ads,7173.71
2025-07-01,creator_network,2987.5
2025-07-01,organic_search,0.0
2025-07-01,direct,0.0
2025-08-01,meta_ads,7491.91
2025-08-01,google_ads,7930.26
2025-08-01,creator_network,2449.78
2025-08-01,organic_search,0.0
2025-08-01,direct,0.0
2025-09-01,meta_ads,7836.81
2025-09-01,google_ads,8409.76
2025-09-01,creator_network,3538.05
2025-09-01,organic_search,0.0
2025-09-01,direct,0.0
2025-10-01,meta_ads,8279.84
2025-10-01,google_ads,8362.27
2025-10-01,creator_network,3510.1
2025-10-01,organic_search,0.0
2025-10-01,direct,0.0
2025-11-01,meta_ads,8557.92
2025-11-01,google_ads,9322.46
2025-11-01,creator_network,3242.08
2025-11-01,organic_search,0.0
2025-11-01,direct,0.0
2025-12-01,meta_ads,10448.55
2025-12-01,google_ads,8003.21
2025-12-01,creator_network,3757.13
2025-12-01,organic_search,0.0
2025-12-01,direct,0.0
